"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","02.01.2021 08:30 - 02.01.2021 09:00 (UTC)","2479","n/e","n/e","13789","249","0","n/e","n/e","n/e","0","","360","n/e","n/e","5918","205","n/e","170","n/e","2207","1576"
"BZN|GB","02.01.2021 09:00 - 02.01.2021 09:30 (UTC)","2474","n/e","n/e","14960","459","0","n/e","n/e","n/e","0","","383","n/e","n/e","5925","184","n/e","623","n/e","2266","1591"
"BZN|GB","02.01.2021 09:30 - 02.01.2021 10:00 (UTC)","2482","n/e","n/e","15282","1054","0","n/e","n/e","n/e","173","","373","n/e","n/e","5924","208","n/e","1140","n/e","2394","1648"
"BZN|GB","02.01.2021 10:00 - 02.01.2021 10:30 (UTC)","2481","n/e","n/e","15818","1208","0","n/e","n/e","n/e","0","","413","n/e","n/e","5932","201","n/e","1500","n/e","2542","1584"
"BZN|GB","02.01.2021 10:30 - 02.01.2021 11:00 (UTC)","2483","n/e","n/e","16741","1309","0","n/e","n/e","n/e","0","","421","n/e","n/e","5921","202","n/e","1780","n/e","2193","1560"
"BZN|GB","02.01.2021 11:00 - 02.01.2021 11:30 (UTC)","2484","n/e","n/e","17170","1447","0","n/e","n/e","n/e","220","","414","n/e","n/e","5936","199","n/e","1990","n/e","2131","1599"
"BZN|GB","02.01.2021 11:30 - 02.01.2021 12:00 (UTC)","2491","n/e","n/e","17653","1494","0","n/e","n/e","n/e","252","","408","n/e","n/e","5932","188","n/e","1880","n/e","2087","1618"
"BZN|GB","02.01.2021 12:00 - 02.01.2021 12:30 (UTC)","2489","n/e","n/e","17751","1510","0","n/e","n/e","n/e","389","","436","n/e","n/e","5930","198","n/e","1760","n/e","1976","1622"
"BZN|GB","02.01.2021 12:30 - 02.01.2021 13:00 (UTC)","2492","n/e","n/e","17927","1537","0","n/e","n/e","n/e","478","","433","n/e","n/e","5930","322","n/e","1630","n/e","1934","1621"
"BZN|GB","02.01.2021 13:00 - 02.01.2021 13:30 (UTC)","2450","n/e","n/e","18299","1506","0","n/e","n/e","n/e","301","","433","n/e","n/e","5922","330","n/e","1360","n/e","1953","1704"
"BZN|GB","02.01.2021 13:30 - 02.01.2021 14:00 (UTC)","2468","n/e","n/e","18771","1609","0","n/e","n/e","n/e","90","","432","n/e","n/e","5926","325","n/e","1080","n/e","1773","1797"
"BZN|GB","02.01.2021 14:00 - 02.01.2021 14:30 (UTC)","2463","n/e","n/e","19075","1626","0","n/e","n/e","n/e","0","","427","n/e","n/e","5934","233","n/e","691","n/e","1655","1804"
"BZN|GB","02.01.2021 14:30 - 02.01.2021 15:00 (UTC)","2462","n/e","n/e","19065","1739","0","n/e","n/e","n/e","0","","413","n/e","n/e","5926","185","n/e","419","n/e","1785","1818"
"BZN|GB","02.01.2021 15:00 - 02.01.2021 15:30 (UTC)","2465","n/e","n/e","19562","1912","0","n/e","n/e","n/e","0","","435","n/e","n/e","5926","186","n/e","195","n/e","1959","1913"
"BZN|GB","02.01.2021 15:30 - 02.01.2021 16:00 (UTC)","2464","n/e","n/e","20090","1965","0","n/e","n/e","n/e","0","","444","n/e","n/e","5922","185","n/e","37","n/e","1957","1949"
"BZN|GB","02.01.2021 16:00 - 02.01.2021 16:30 (UTC)","2469","n/e","n/e","20745","2010","0","n/e","n/e","n/e","0","","507","n/e","n/e","5928","197","n/e","1","n/e","1864","2045"
"BZN|GB","02.01.2021 16:30 - 02.01.2021 17:00 (UTC)","2435","n/e","n/e","21392","1998","0","n/e","n/e","n/e","1092","","545","n/e","n/e","5928","515","n/e","0","n/e","1759","1985"
"BZN|GB","02.01.2021 17:00 - 02.01.2021 17:30 (UTC)","2456","n/e","n/e","22012","2139","0","n/e","n/e","n/e","1196","","659","n/e","n/e","5928","529","n/e","2","n/e","1857","2132"
"BZN|GB","02.01.2021 17:30 - 02.01.2021 18:00 (UTC)","2465","n/e","n/e","22140","2148","0","n/e","n/e","n/e","1559","","663","n/e","n/e","5925","533","n/e","1","n/e","1823","2176"
"BZN|GB","02.01.2021 18:00 - 02.01.2021 18:30 (UTC)","2467","n/e","n/e","22051","2106","0","n/e","n/e","n/e","1079","","620","n/e","n/e","5941","514","n/e","0","n/e","1780","2186"
"BZN|GB","02.01.2021 18:30 - 02.01.2021 19:00 (UTC)","2468","n/e","n/e","21354","2118","0","n/e","n/e","n/e","900","","619","n/e","n/e","5936","459","n/e","0","n/e","1798","2204"
